rank,doc_idx,lda_cluster,lda_topwords,lda_maxtheta,lda_entropy,embed_pred_cluster,embed_topwords,true_group,lda_cluster_as_group,embed_pred_as_group,text
1,3633,3,max bhj giz bxn air qax,0.995,0.014,15,don just like know think good,comp.os.ms-windows.misc,comp.os.ms-windows.misc,rec.motorcycles,bxn bxn bxn max max max max bxn msu bxn nrhj biz max max max max ahl giz max max max bxn giz max max max max bxn giz hey nriz max max max bxn giz nrhj qax max max max bxn bxn gnv giz hey max max max bxn bxn bxn bxn bxn bxn bxn bxn bxn giz giz giz nrhj giz qax max max max bxn bxn bxn giz giz giz giz 
2,1523,19,file entry output program section char,0.994,0.014,9,edu com mail information send list,comp.windows.x,rec.sport.baseball,comp.sys.mac.hardware,received number requests international code contest rules guidelines people requested rules posted wider set groups sorry cross posting technical rules guidelines diff marks right hand edge rules guidelines year remain people process submitting entries need worry changes curt com larry lab sun com b
3,2842,3,max bhj giz bxn air qax,0.993,0.020,15,don just like know think good,comp.os.ms-windows.misc,comp.os.ms-windows.misc,rec.motorcycles,air air air air bhj mlb air new air air air bhj bhj bhj bhj bhj air air air air air bhj bhj air air air air bhj bhj air air bhj bhj bhj rll bhj bhj bhj bhj bhj air air bhj air air air air bhj bhj bhj air bhj bhj air nah nah bhj air air bhj air air bhj bhj bhj air air bhj bhj bhjn bhj bhj bhjn air jr
4,1371,3,max bhj giz bxn air qax,0.959,0.091,15,don just like know think good,comp.os.ms-windows.misc,comp.os.ms-windows.misc,rec.motorcycles,sys lis bhj mas lis sho bhj cbc mas sho ucs sho mri meg ucs mem sho bhj sho bhj ucs meg meg sho cis bhj bhj bhj bhj bhj ack mri lis bhj mas sho sho mri lis meg air air air air air nah air meg mri air nah mri lis end
5,7321,3,max bhj giz bxn air qax,0.936,0.120,15,don just like know think good,comp.os.ms-windows.misc,comp.os.ms-windows.misc,rec.motorcycles,air air kit air nah air air air air air air air air air air air air air air air air net nah plo gut pay gut air air air plo air air air air air air kit air nah air air air new ahl new air air air ron mlb new air air air air air air air air dad air air air air air ahl air air air air air new air air 
6,3005,19,file entry output program section char,0.920,0.133,11,image software available ftp files graphics,sci.crypt,rec.sport.baseball,comp.graphics,got number requests code written borland code nick code segment assume code code org start begin gas particle bit particle moving east bit particle moving west bit particle moving north bit particle moving south bit particle moving east bit particle moving west bit particle moving north bit particle
7,1328,3,max bhj giz bxn air qax,0.891,0.202,15,don just like know think good,comp.os.ms-windows.misc,comp.os.ms-windows.misc,rec.motorcycles,net ack new air air air air air air air air giz air air air air gut ali plo rll kit sho pay cis kit ack net mri mri mri lis end
8,9872,17,power use water ground wire used,0.870,0.208,5,drive card scsi disk dos windows,sci.electronics,sci.electronics,comp.sys.ibm.pc.hardware,according pinouts display follows pin led supply voltage pin data input pin data input pin left point pin input pin omitted pin common ground pin input pin omitted pin right point pin omitted pin data input pin data input pin logic supply voltage logic supply voltage led supply need particularly reg
9,9391,19,file entry output program section char,0.861,0.175,9,edu com mail information send list,comp.windows.x,rec.sport.baseball,comp.sys.mac.hardware,received number requests international code contest rules guidelines people requested rules posted wider set groups sorry cross posting technical rules guidelines diff marks right hand edge rules guidelines year remain people process submitting entries need worry changes curt com larry lab sun com b
10,4119,19,file entry output program section char,0.860,0.174,11,image software available ftp files graphics,comp.windows.x,rec.sport.baseball,comp.graphics,enclosed rules guidelines related information international code contest shar file enjoy curt larry bin shell archive shar com source directory tmp existing files shar contains length mode rules guidelines info rules echo extracting rules text rules international code contest rules curt larry rights
11,8646,9,edu com mail information send list,0.859,0.220,4,health medical disease use patients food,sci.med,comp.sys.mac.hardware,sci.med,final votes creation newsgroup misc health mass valid votes received april gmt appears end posting check list sure vote registered read instructions voting carefully follow precisely certain place proper vote instructions voting place vote creation misc health send email message yes navy mil place v
12,6625,19,file entry output program section char,0.856,0.214,11,image software available ftp files graphics,comp.graphics,rec.sport.baseball,comp.graphics,program doesn detect edges operators operator output raw grey scale images edges output doesn look like edges terms correct errors improvements welcome accept corrected code input image digital remove noise improvement types edge detection include stdio include math define define unsigned char unsig
13,1679,2,car new bike price sale cars,0.854,0.246,15,don just like know think good,misc.forsale,misc.forsale,rec.motorcycles,sega genesis barely used like sell following games revenge iii asking obo best reached email alternatively phone
14,5195,10,said people went didn came told,0.828,0.173,0,israel turkish armenian jews war israeli,talk.politics.mideast,talk.religion.misc,talk.politics.mideast,accounts anti armenian human right violations azerbaijan prelude current events nagorno karabakh said february people street shouting long live turkey glory turkey trial said does mean glory turkey don understand turkey live soviet union turkey told going help kill armenians don understand glory tur
