text,stars
"Went in to get a dress for my young daughter. Was ignored from start to finish. When I asked if they could see if another store had the dress I wanted, instead of offering to call, they offered to give me the number so I could call. Terrible customer service. I bought my wedding dress here 10 years ago. Will never go back.",1
"Tobacco Town is a cigar shop off the 215 and Rainbow across from the Best Buy. This cigar shop also offers a good selection of pipe tobacco and even hookahs(?). A little off your traditional cigar shop with the hookah thing, but hey, they have a decent size humidor and look to be adding to the store weekly. Keep them in mind if your on that side of town and looking for a cigar.",3
Nice place for a lunch if you're in Fashion Show and don't want standard food-court food.,3
"I didn't like the BBQ sauce on the ribs here. While my ribs were passable, they certainly weren't excellent. I'm not a fan of baked beans at all, so I skipped that. I think they were barbequed which seems unappealing. The cole slaw wasn't my favorite either, it was kind of blah. All in all, I'd say go elsewhere if you are looking for delicious barbeque.",2
"I was told the rooms were renovated but was a basic clean up... Still has popcorn on the ceiling, clean but not anything fancy. Flat screen tv was terrible reception, heat and air is old and is loud and outdated. Very old casino that dates back to 1955 and is a good place to stay if you like vintage. Does not have a good filtration in the casinos and smoke is strong smelling. Would never, never stay here again... Never!",2
Eggs benedict sandwich great idea poor execution very bland and tasteless not enough ham English muffin was stale.,2
I was impressed that they had a gluten free menu but there was not one gluten free vegan option so I just asked them to make me quinoa with vegetables. Somehow what I got was a bowl of broth so I had to try to fish out my meal which now was soaked and had no flavor. I can't imagine what the chef was thinking when he poured broth over my meal and turned it into soup.,2
"Very friendly service, love that this place is locally owned! They will text you when your prescription is ready. Overall I've had great experiences here.",5
Busy busy place... great happy hour specials! Great server! \n\nWe will be back next time we are at the Aria.,5
Service was awesome. Biblical breakfast was super yummy. Can't wait to go back and try lunch! Check their Facebook page for specials. Iced coffee had coffee ice cubes how smart!,5
I'm sitting in here right now trying to work and they are blasting Glenn Beck super loud. Ay yi yi. Time to leave.,2
"The prices and care delivered at this Spay & Neuter clinic are acceptable. However, I didn't like how the vet tried to sell me on services I clearly didn't need. For example, she tried to convince me to have my dog's nails clipped when I had just clipped them 2 days ago myself. I far prefer the Spay & Neuter clinic in Tempe. Everything that's good about this clinic is good over there, but they're more professional. I gave the clinic in Tempe 5 stars.",3
"Great reception upon entering and great food! No one will be disappointed (unless you are looking for a real fancy place with fancy menus), but I bet the food at the Italian Grotto is better!",4
"Iv'e been to better places. I always forget that they dont take a card so I have to remember to get cash out when I go there. I usually order their omelets. The veggies are always crunchy so I taste more of a raw onion than I do my omelet. The food comes out fast which is great until I tasted the food. I checked it out three or four times to see if it might be different but the omelets were the same. Raw and crunchy. overall nice atmosphere, nice service, but the food is blah",3
"Corn bread--good. Street tacos--very good. The baked seafood enchilada--not so good (tasted very fishy). Tortilla soup--not so good, but maybe be average for a tex-mex style.",3
i would say one of the best buffet in las vegas today. the ambiance is nice and the food selection is very good. it's worth the wait and the $30 per person. get there as early as you can as the line gets crazy long. the servers are very friendly and efficient too.,5
"Yum if you like buttery selections (eg. Broccoli , mac'n'cheese, mashed potatoes). They do have a nice selection of Asian foods. We went for lunch. The dude cutting the meats have a positive attidude and makes the experience more enjoyable . Though the price is a little high $41.99 for weekend brunch, but definitely worth a try. You can save a whole buck if you are a current Caesar card holder, woot.",4
Do not purchase video games here! Used games are ridiculously overpriced selling for more than double the price of new.,1
"I only go for the happy hour, the little tacos are good most of the time and the beer is reasonably priced.",3
"Best place to work, great atmosphere and co-workers! The Rockstars of Old Town! Ask for Albert and mention Yelp for a 20% discount. Existing client or not!",5
"Love Fuzzy's! I always get the chicken nachos w/ feta, garlic sauce, white queso and it's super yummy! Prices are reasonable and they now deliver! Great place for take out, eat in, drinks, etc. Go for Taco Tuesdays as well!",4
dining experience was OK.\nFirst off the seating area is not roomy feels like your up in everybody's business on the table for 2. Service was good except for waiting at least 20-30 mins to get a glass of water. The food was tasty had kung pao chicken plate with a couple of rolls. Overall good experience just felt really uncomfortable with the super tight seating space from table to table.,3
"Slow service, weak food, im not sure the beers we ordered had any alcohol in them they tasted watered down. The place looks promising but I was dissapointed.",2
"This is a fun place to gamble on the cheapo slots. They have a lot of fun & interesting games that I had only seen at this property. Don't expect a lot of waitress service, but if you want to bang away on some slots and be able to move to a lot of different machines in a couple hours, you can do it here right in the middle of the strip.",4
"We finally got a Jimmy John's and I had heard so much about it being great. We tried two different sandwiches (the No 9 Italian Night Club on their great french roll and the No 12 Beach Club on thick sliced 7 grain bread). Great quality product, great bread, very competitive pricing. It is a little noisy with the music and hard surfaces in this location thou. They are a brand new location so that will probably change (hope) over time.",4
"Review for casino only:\n\nI was at Circus Circus last night to go to their Steak House restaurant. I had forgotten how large the place is, but coming from the garage in the back, I didn't have to go to the main casino. I did anyway just to see one of the circus acts. Roller skating duos must be the rage in Las Vegas with a couple spinning there last night.\n\nThe place was cleaner than I remembered from years ago. It's not a place I'd go except for the restaurant, but it is OK.",3
This is a horrible car wash. The manager / owner is extremely rude and the quality of the work is terrible. I would never waste the money to return here. They only are concerned with up selling detail packages and not with the quality of car washes done.,1
"I have been to noodle ranch once so far, food was great, fast, cheap and fresh. Place was a bit dead for Sat at lunch but since it is right down from LoLo's chicken and waffles I can understand it. People go for the 'hip' not necessarily the best food.\nNo question about it, I will be back again and again.",4
A group of my coworkers and I go here every other week for lunch. FYI the blackberry lemonade is to diiiiie for- I order it every time we go. They have delicious healthy options to eat as well! Something for everyone,4
Stayed here for 2 weeks had a group of 20 staying here. I didn't like the place . Rooms where outdated . Casino was always busy and couldn't enjoy myself so spent the whole trip at other casinos,2
"Food was good, waiter wasn't personable or friendly. Asked if I wanted a refill when I still had food on my plate, one glass minimum I guess on dr peppers?",3
"Didn't like it, but we have the best Mexican in Dallas so I am biased.\n\nThe margaritas were decent. Salsa was ehh, just had brisket tacos for apps...Cute patio. Live music, as in the guy with guitar singing \""la bamba!\""\n\nWouldn't go back. Crowd was kind of boring. Other places along Scottsdale Blvd looked way more lively.",2
"I can't even begin to tell you how refreshing it is to go to a new pizza place and find out that its not just \""a pizza place\""! \n\nTanino will cater to your wishes with a smile, a suggestion and warmth that you just don't find anymore. My teenagers love the atmosphere and we are back almost every week now... Trying everything!\n\nThe bruschetta is unreal! The eggplant pram and the ravioli are phenomenal. The closest sauce to Grandma! Keep it up guys!",5
Takeout was a miserable experience here. We were told 20-25 minutes for our pizza and it took an hour and a half. We were charged a service and delivery fee online and it was not refunded when we picked our pizza up.,1
"Wow! This place is a party planner's dream! They have lots of goodies, favors, decorations, etc. at great prices (esp. the favors). They had an Easter section (as I'm writing this in April 2011) and a clearance section in the very back aisle. I received great customer service and the store was so clean & organized that I didn't really need help finding anything. I adore this store!",5
Wish I could give them zero stars. The other reviews are spot on. They don't want your business. They refuse to honor Subway coupons. The employees act rude and condescending. Their prices are more expensive than other Subways in the area. I'd recommend the Subway at 51st and Olive if you're looking to eat at Subway in this neighborhood. Avoid this one at all costs!,1
"I hate how they just stand around and let you bag your own stuff, even when they're not actually DOING anything!",2
Ah wish this wasn't the case. It is a nice little spot and decently priced for a known chef stop in Vegas. I love him maybe that made my expectations too high or something. I got the gruyere with grilled onions and shared a salad. The salad options are insanely bland but the dressing was good at least. My sandwich was flavorless except for the fennel seeds in the bread which I wish I had been warned about since I'm not a fan of fennel. Very disappointed. Maybe I just ordered the wrong thing?,2
"Pretty good drive-thru car wash, nothing out of the ordinary. However, I was able to purchase ultd washes for the month for only $10 which is awesome!!! :)",3
A step above The Street in Mesa but not as good as Bomb Boba and other places in West Phoenix. Still pretty good though and they have a lot of flavors and varieties of Boba.\n\nAlways get the Honeydew Slush~,4
"Been here a couple times for the XDC event and I've only ever really seen one track. BUT!!! When I do go, next to the track is a huge lake where people drive their different water vehicles and can do jumps I think if they want to go water skiing. I do get burnt when it's hot but when track doesn't get you burnt?",4
"My wife and i stayed there for our anniversary and had a great time. little dissappointed in the cottage we stayed in. i know the place is old but you have to update and remodel every once in awhile (century). I want to give 4 stars but i also think that the price was a little steep for a summer rate. Now, i know that i should expect to pay alot for the biltmore but i am not the ritzy type of person. I am sure my wife would give it 5 stars.",3
"Don't eat anything but the chicken. Everything else is nasty. Charlotte should be a BBQ mecca, it isn't because of the chains. Go back to Florida, they like it there.",2
I'm here a few times a week with my dog (the large dog side). Considering the craziness that takes place at most dog parks this one is pretty relaxed. Most of the dog owners here are pretty responsible here handling their dogs and cleaning up after them. It's super convenient and has a lot of space for all the large dogs.,4
Hey Robert. Sent you some info online after searching for your contact. No reply. Put your email up and I'll email you. \n\nThanks\n\nCraig,1
