document_id,text,neighborhood_status,speaker_role
0,Historic preservation must come before corporate developer expansion. This concrete jungle is an issue of environmental justice for our neighborhood children. Our community is tired of being ignored by city sanitation departments.,stable_historic,resident
1,"Families are struggling with changing school district boundaries that divide neighborhoods. We deserve reliable street cleaning and basic municipal services like other districts. These streets hold our neighborhood history, roots, and local culture. These streets hold our neighborhood history, roots, and local culture.",stable_historic,resident
2,"Demolishing these historical buildings destroys our collective memory and identity. These streets hold our neighborhood history, roots, and local culture. We must demand historic landmark status to preserve our community heritage.",stable_historic,resident
3,We are building sustainable leisure spaces and public plazas for the community to enjoy. This family-friendly development includes dedications for classroom expansion. Connecting this zone to the subway line will generate widespread positive externalities. We are building sustainable leisure spaces and public plazas for the community to enjoy.,stable_historic,developer_official
4,"Families are struggling with changing school district boundaries that divide neighborhoods. Local public parks are neglected, and we lack green space and mature shade trees. We need to protect our community garden from being paved over for developments. We need to invest in our neighborhood schools instead of promoting private charter schools.",stable_historic,resident
5,Modernizing the storefronts will revitalize the business corridor and create jobs. This revitalization project represents smart growth and transit-oriented density. Our security plan is fully coordinated with municipal public safety agencies. The project includes significant landscaping improvements and modern public park amenities.,rapidly_gentrifying,developer_official
6,"The skyrocketing rents in this neighborhood are completely out of control. These streets hold our neighborhood history, roots, and local culture. Historic preservation must come before corporate developer expansion. Demolishing these historical buildings destroys our collective memory and identity.",stable_historic,resident
7,"Our community needs safe, clean green spaces to gather and play. Demolishing these historical buildings destroys our collective memory and identity. Our local public schools suffer from overcrowded classrooms and severe funding cuts.",stable_historic,resident
8,We are working with historians to preserve key structural elements of the site. We are installing advanced security systems and modern street lighting across the site. This revitalization project represents smart growth and transit-oriented density. We are coordinating with the school board capacity planning to accommodate new families.,stable_historic,developer_official
9,We need to protect our community garden from being paved over for developments. This concrete jungle is an issue of environmental justice for our neighborhood children. Historic preservation must come before corporate developer expansion. Historic preservation must come before corporate developer expansion.,stable_historic,resident
10,This major capital investment will stabilize the local housing market and boost growth. Our residential development project will add both market-rate housing and designated affordable units. This major capital investment will stabilize the local housing market and boost growth. The ground-floor retail activation will boost commercial vitality and attract shoppers.,rapidly_gentrifying,developer_official
11,We need to invest in our neighborhood schools instead of promoting private charter schools. We need to invest in our neighborhood schools instead of promoting private charter schools. A local neighborhood watch is organizing to prevent petty crime and build trust.,stable_historic,resident
12,Gentrification is causing the cultural displacement of our local artists and murals. We need to preserve our community murals and local creative spaces from destruction. Corporate chains are displacing our long-standing local legacy businesses.,rapidly_gentrifying,resident
13,This family-friendly development includes dedications for classroom expansion. The project includes significant landscaping improvements and modern public park amenities. The green roof design contributes to municipal environmental sustainability goals.,stable_historic,developer_official
14,Bike lane safety is completely ignored on these busy and dangerous streets. We are facing massive displacement because of greedy landlords and speculators. We need to invest in our neighborhood schools instead of promoting private charter schools. The new boutique stores are price gouging and do not serve the needs of local families.,rapidly_gentrifying,resident
