rank,doc_idx,lda_cluster,lda_topwords,lda_maxtheta,lda_entropy,embed_pred_cluster,embed_topwords,true_newsgroup,lda_cluster_as_ng,embed_pred_as_ng,text
1,330,2,edu image graphics com file software,0.922,0.202,3,don just like people think know,sci.med,comp.graphics,sci.med,huge good mri sets big cost millions dollars wants reading scan gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
2,1019,1,year game team good games hit,0.902,0.275,3,don just like people think know,sci.space,rec.sport.baseball,sci.med,april van van van van met april van van van van van van stand van van van van half van van apart van van van van van door van experiment met van van live lunch lunch door van bank men van lunch men tel mail met opening van van van van lunch van met
3,1786,2,edu image graphics com file software,0.870,0.287,3,don just like people think know,sci.med,comp.graphics,sci.med,diet good term fits gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
4,564,0,space nasa launch earth data research,0.867,0.279,3,don just like people think know,sci.space,sci.space,sci.med,writer reported today washington post joseph head space station redesign health reasons selection february returned yesterday lead presentation independent white house panel presentation deputy astronaut effort redesign effort track
5,933,0,space nasa launch earth data research,0.833,0.341,3,don just like people think know,sci.med,sci.space,sci.med,cut medical newsletter page volume number april colorado source date apr number reported cases colorado increased comparison united states reported cases continued overall report analysis increase colorado disease cases reported colorado department health compared cases reported reported cases incre
6,1339,2,edu image graphics com file software,0.814,0.427,3,don just like people think know,sci.med,comp.graphics,sci.med,final votes creation newsgroup misc health mass valid votes received april gmt appears end posting check list sure vote registered read instructions carefully follow precisely certain place proper vote instructions place vote creation misc health send email message yes navy mil place vote creation m
7,492,3,don just like people think know,0.811,0.418,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,think just wanted work tigers days day day
8,2054,3,don just like people think know,0.807,0.373,0,space nasa launch earth data research,sci.space,sci.med,sci.space,thought emergency conditions sts good size orbiter just need don know need pat
9,654,4,gun guns file law people firearms,0.807,0.347,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,don sign blank doug says weapons mass means brady says weapons mass means street shotguns semi automatic rifles john lawrence says weapons mass immediately follows does mean term
10,2419,0,space nasa launch earth data research,0.798,0.373,3,don just like people think know,sci.space,sci.space,sci.med,let aren sense amateur rockets term rockets engines user rockets called high power rockets distinguish smaller model rockets use plastic engines engines impulse engine example newton seconds impulse engine letter maximum impulse far engines size available pretty shelf engines size class controlled e
